product_id,title,product_type,price,image_url,visual_description,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,marketing_copy,gender,creative_collections,utility_collections
9175874863331,Colorful Abstract Floral Cotton Pants for Bold Self-Expressers,Pants,80.00,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/bfa1dd92-il_fullxfull.7691840288_jojl_492924b0-05f5-4de5-bc65-a15fb754a6a8.png?v=1779267893,"Dense all-over botanical illustration — overlapping tropical flowers, leaves, and abstract floral shapes in a vivid multicolor palette on a white base; edge-to-edge coverage with zero negative space",botanical maximalist pants,abstract floral AOP bottoms,wearable garden print,dopamine dressing bottoms,festival cargo alternative,indie floral streetwear,art kid fashion pants,eclectic maximalism bottoms,bold spring fashion 2026,unisex statement pants,plus size AOP pants,all over print streetwear bottoms,Wear the whole garden and let the sidewalk be your runway.,Guys+Girls,Quantum Bloom|Boundless Bleeds|Maximalist Motifs|Primal Prints,
9175874896099,"Graffiti Tag Kimono Robe — Neon Street Art AOP, Fur-Lined Duster",Bathrobe,85.00,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/433230e8-il_fullxfull.7691840248_4nt8.png?v=1778528352,"Full-bleed neon graffiti tag collage — overlapping spray-painted writer tags, throw-ups, and street lettering in electric yellows, pinks, and greens on white; fur-lined long duster silhouette",graffiti kimono robe,neon tag collage duster,fur lined street art robe,wearable graffiti art,alt loungewear statement,street art AOP outerwear,maximalist duster coat,post-internet art fashion,dopamine dressing robe,bold unisex robe,hyperpop aesthetic loungewear,festival camp robe,Art school never looked this cozy.,Guys+Girls,StreetsmART|Boundless Bleeds|Maximalist Motifs|Static Frequency,
9175874928867,Graffiti Tag AOP Fleece-Lined Bathrobe for Maximalist Loungewear Collectors,Bathrobe,73.00,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/cd28452b-il_fullxfull.7739778727_iwsi.png?v=1778524238,Dense overlapping graffiti writer tags and throw-ups in multicolor neon ink covering every inch of the robe; plush fleece-lined interior with bold street art exterior — unisex cut,graffiti bathrobe AOP,fleece lined street art robe,loud print lounge robe,all over print bathrobe,wearable graffiti gift,maximalist loungewear,urban art home spa,bold print unisex robe,eclectic maximalism home,dopamine decor robe,streetwear loungewear,plus size art robe,The loudest thing in your bathroom — by design.,Guys+Girls,StreetsmART|Boundless Bleeds|Maximalist Motifs|Color Riot,
9175874961635,Graffiti Street Art AOP Sports Headband for Urban Fitness Dressers,Headband,8.00,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/6b705228-il_fullxfull.7691993006_893k.png?v=1778746486,Compact graffiti tag collage wrapped around a sweat-wicking athletic headband — tight spray-paint lettering and abstract marks in neon colors; full-bleed AOP sublimation on stretch fabric,graffiti sports headband,street art workout accessory,AOP gym headband,bold activewear headband,festival fitness accessory,wearable art headband,urban gym style,sweat wicking art band,maximalist workout gear,peloton fashion accessory,main character energy gym,dopamine dressing sport,Sweat in style. Tag the treadmill.,Guys+Girls,StreetsmART|Static Frequency|Maximalist Motifs,Accessories
9175874994403,Neon Anemone AOP Bucket Hat | Electric Reef Print S-L,Bucket Hat,37.00,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/86798e7d-il_fullxfull.7818135479_ghyv.png?v=1778481060,"Electric neon sea anemone and coral reef motifs covering every panel — pulsing tentacles and bioluminescent forms in hot pink, electric teal, and acid yellow on deep navy; oceanic UV rave energy",neon anemone bucket hat,electric reef print hat,bioluminescent ocean AOP,festival bucket hat 2026,rave headwear ocean print,dopamine dressing hat,weird girl aesthetic hat,chromatic therapy headwear,bold print bucket hat,coastal maximalist hat,eclectic festival accessory,all over print bucket hat,The ocean called. It wants its energy back — but you're keeping it.,Guys+Girls,Color Riot|Chromatic Overload|Cosmic Debris|Quantum Bloom,Accessories
9175875027171,Psychedelic Rainbow Spiral Tie-Dye Shirt,Shirt,53.00,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/41e7d08f-il_fullxfull.7818257859_2jl1.png?v=1779040323,Classic centrifugal tie-dye spiral rendered digitally — concentric rainbow rings radiating from center in full ROYGBIV spectrum; psychedelic button-down silhouette with all-over vibrant color coverage,psychedelic rainbow spiral shirt,tie-dye AOP button up,rainbow spiral festival top,groovy retro shirt 2026,deadhead aesthetic shirt,festival core clothing,chromatic therapy shirt,vivid aura aesthetic top,rave button down shirt,eclectic maximalism top,all over print spiral shirt,vintage inspired festival wear,The '70s called — they said go bigger.,Guys+Girls,Boundless Bleeds|Color Riot|Chromatic Overload|Cognitive Drift,
9175875059939,Modern Abstract Geometric Brushstroke Blouse — Dyles Mavis AOP Acid Marble Top,Button-Up Shirt,45.00,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/f8202768-il_fullxfull.7691827824_g3ep.png?v=1779047427,"Abstract acid marble with bold brushstroke geometry — earthy jewel tones (ochre, teal, rust, indigo) forming fluid organic shapes overlaid with geometric brush marks; content-creator-ready AOP stretch top",acid marble brushstroke blouse,abstract geometric women's top,earthy jewel tone AOP shirt,content creator outfit blouse,chaos core fashion top,wearable art blouse women,main character energy top,art kid fashion shirt,indie aesthete top 2026,bold print women's button up,eclectic maximalism blouse,post-internet fashion top,Your outfit just made the moodboard without asking.,Girls,Boundless Bleeds|Cognitive Drift|Maximalist Motifs|Color Riot,
9175875092707,Seigaiha Wave AOP T-Shirt | Blue Geometric Pattern 140g,T-Shirt,53.00,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/196dbf81-il_fullxfull.7770302536_o2ri.png?v=1778481262,Traditional Japanese seigaiha (overlapping wave scales) pattern rendered in layered ocean blues and indigo — precise geometric tessellation covering the entire tee; calming yet bold East-meets-street visual,seigaiha wave pattern shirt,Japanese geometric AOP tee,ocean blue wave print tee,traditional pattern streetwear,indigo geometric t-shirt,Japanese inspired fashion,wave scale AOP shirt,wearable art tee geometric,indie aesthetic art t-shirt,festival core shirt 2026,all over print blue tee,unique pattern graphic shirt,Ancient pattern. Modern rebellion.,Guys+Girls,Hyperdensity|Transcendent Artifacts|Vibe-Checked Vectors|Maximalist Motifs,
9175875125475,Static Shock AOP V-Neck Tank | Abstract Lightning Print Sleeveless,Tank Top,31.82,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/86f15b31-il_fullxfull.7691829096_ln93.png?v=1778722799,"Abstract lightning bolt fractures and electric discharge patterns across a full-bleed ground — jagged electric arcs in neon yellow, white, and blue on dark base; high-energy voltage aesthetic for festival and gym",lightning abstract tank top,electric shock AOP sleeveless,neon voltage festival tank,gym rave crossover top,static shock print tank,bold activewear statement,festival gym tank men,all over print V neck tank,static frequency aesthetic,dopamine dressing activewear,EDM festival outfit top,main character gym look,Live wire. No off switch.,Guys+Girls,Static Frequency|Chromatic Overload|Maximalist Motifs|Color Riot,
9175875158243,Psychedelic Rainbow Spiral Button-Up Shirt — Neon Tie-Dye AOP Long Sleeve,Button-Up Shirt,45.00,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/7456c596-il_fullxfull.7807249121_ocf9.png?v=1779059202,Full-bleed centrifugal neon rainbow spiral tie-dye — explosive concentric rings in the full spectrum from hot pink outward to electric green and cobalt; long sleeve button-down silhouette drenched in color,neon rainbow spiral shirt,psychedelic long sleeve button up,tie-dye AOP long sleeve,festival button down shirt,groovy neon long sleeve,deadhead revival fashion,all over print spiral top,chromatic therapy shirt,rave layer shirt,eclectic maximalism long sleeve,vivid aura aesthetic top,festival core 2026 shirt,Every color at once. Zero apologies.,Guys+Girls,Boundless Bleeds|Color Riot|Chromatic Overload|Cognitive Drift,
